Altium Designer Pick and Place Locations
C:\Git\Fairwaves\xtrx-hardware\Carrier Boards\USB3-PCIe\USB3-PCIEv21\Project Outputs\Pick Place\Pick Place for USB3-PCIEv21(Var_1).txt

========================================================================================================================
File Design Information:

Date:       26.07.18
Time:       14:52
Revision:   01d15f25feddbcfdf56136f3c54a70af0cb94595
Variant:    Var_1
Units used: mm

Designator Comment                          Layer       Footprint                 Center-X(mm) Center-Y(mm) Rotation Description                      
R13        10k                              BottomLayer R0402-Phillips            -20.8250     1.2000       90       Resistor                         
R14        10k                              BottomLayer R0402-Phillips            -22.7250     1.2000       90       Resistor                         
C19        0.01uF                           BottomLayer C0402-Phillips            -23.4751     -5.0499      360      Capacitor                        
C10        18pF                             BottomLayer C0402-Phillips            -9.3750      -2.3000      180      Capacitor                        
R6         24k                              BottomLayer R0402-Phillips            5.9000       -8.2000      0        Resistor                         
R25        2k                               BottomLayer R0402-Phillips            -16.7750     3.2000       90       Resistor                         
R7         47k                              BottomLayer R0402-Phillips            3.1000       -8.2000      0        Resistor                         
R15        10k                              BottomLayer R0402-Phillips            -12.3000     3.4750       270      Resistor                         
R17        10k                              BottomLayer R0402-Phillips            -21.7750     1.2000       90       Resistor                         
R16        10k                              BottomLayer R0402-Phillips            -9.3750      -1.2710      360      Resistor                         
R22        10k                              BottomLayer R0402-Phillips            -21.7750     -13.9750     270      Resistor                         
C11        18pF                             BottomLayer C0402-Phillips            -9.3750      -3.1000      180      Capacitor                        
R8         330                              TopLayer    R0402-Phillips            10.5250      -15.4000     360      Resistor                         
R23        "1k6 1%"                         BottomLayer R0402-Phillips            -23.8000     -9.6250      180      Resistor                         
R24        0                                BottomLayer R0402-Phillips            -17.5000     1.0250       270      Resistor                         
R27        33                               BottomLayer R0402-Phillips            -23.5250     7.8000       0        Resistor                         
C20        1000pF                           BottomLayer C0402-Phillips            18.8250      -11.9500     180      Capacitor                        
C22        0.1uF                            BottomLayer C0402-Phillips            -14.8000     1.0250       90       Capacitor                        
C33        0.1uF                            BottomLayer C0402-Phillips            -23.3000     -10.7500     180      Capacitor                        
C28        0.1uF                            BottomLayer C0402-Phillips            -11.6000     1.0250       90       Capacitor                        
C39        0.1uF                            BottomLayer C0402-Phillips            -23.6250     -3.4500      180      Capacitor                        
C51        10uF                             BottomLayer C0402-Phillips            10.1250      -9.9710      90       Capacitor                        
U4         MIC23158YML                      BottomLayer MLF-20(3X4/0.5)MIC        15.9750      -11.4750     360      "IC dual 2A step down DCDC"      
C13        10uF                             BottomLayer C0402-Phillips            14.9750      -14.3750     180      Capacitor                        
C9         0.01uF                           TopLayer    C0402-Phillips            0.3500       15.5250      360      Capacitor                        
C12        10uF                             BottomLayer C0402-Phillips            12.1750      -14.6250     360      Capacitor                        
C23        0.01uF                           BottomLayer C0402-Phillips            -19.8250     1.0000       270      Capacitor                        
C25        0.01uF                           BottomLayer C0402-Phillips            -13.2000     1.0250       270      Capacitor                        
C30        0.01uF                           BottomLayer C0402-Phillips            -10.9500     -13.0750     90       Capacitor                        
C34        10uF                             BottomLayer C0402-Phillips            -14.1750     -13.0750     90       Capacitor                        
C41        1uF                              BottomLayer C0402-Phillips            14.9750      -8.5500      180      Capacitor                        
C42        10uF                             BottomLayer C0402-Phillips            -19.0250     1.0000       270      Capacitor                        
C45        1000pF                           BottomLayer C0402-Phillips            18.8250      -11.0250     180      Capacitor                        
C48        10uF                             BottomLayer C0402-Phillips            -20.4500     -13.1000     90       Capacitor                        
L6         0.47uH                           BottomLayer L-VLS201610HBX            12.2500      -10.2250     90       Coil                             
U2         CAT25640YI-G                     BottomLayer TSSOP-8                   0.0960       -5.1289      180      "IC SPI CMOS EEPROM"             
X8         XTRX-JTAG                        TopLayer    Molex_78864-1001          -7.8500      12.1000      90       "Connector board to board"       
X9         0734120110                       BottomLayer U_FL                      -37.3500     0.0000       180      "Connector (UMCC)"               
X10        0734120110                       BottomLayer U_FL                      -37.7500     6.2000       90       "Connector (UMCC)"               
X11        0734120110                       BottomLayer U_FL                      -37.7500     -6.2000      270      "Connector (UMCC)"               
X12        0734120110                       BottomLayer U_FL                      37.7500      6.2000       90       "Connector (UMCC)"               
X13        0734120110                       BottomLayer U_FL                      37.7500      -6.2000      270      "Connector (UMCC)"               
X14        "SMA edge SMD mount"             TopLayer    SMA_-_EDGE                -37.7750     0.0000       270      "Connector coaxial"              
X15        "SMA edge SMD mount"             TopLayer    SMA_-_EDGE                -37.7000     6.6750       180      "Connector coaxial"              
X16        "SMA edge SMD mount"             TopLayer    SMA_-_EDGE                -37.7000     -6.6750      0        "Connector coaxial"              
X17        "SMA edge SMD mount"             TopLayer    SMA_-_EDGE                37.7500      6.6750       180      "Connector coaxial"              
X18        "SMA edge SMD mount"             TopLayer    SMA_-_EDGE                37.7500      -6.6750      0        "Connector coaxial"              
C52        10uF                             TopLayer    C0402-Phillips            -20.8790     -15.4960     180      Capacitor                        
R28        0                                BottomLayer R0402-Phillips            -2.6750      -5.4000      360      Resistor                         
L2         BLM18SG221TN1                    BottomLayer TI160808-Phillips         5.6500       -9.8500      360      "EMI ferrite bead"               
